City,Country,Date,Latitude,Longitude,Humidity,Pressure,Max_Temp,Cloudiness,Wind_Speed
Ushuaia,AR,2020-06-16 17:35:18,-54.8,-68.3,81,1004,37.4,40,2.1
Hare Bay,CA,2020-06-16 17:35:18,48.85,-54.01,35,1021,71.6,75,6.2
Wolfsburg,DE,2020-06-16 17:35:07,52.43,10.8,73,1013,71.01,58,1.5
Klaksvík,FO,2020-06-16 17:35:19,62.23,-6.59,93,1017,51.8,100,5.1
Saint George,US,2020-06-16 17:34:00,37.1,-113.58,18,1011,90.0,1,12.3
Rawlins,US,2020-06-16 17:35:19,41.79,-107.24,14,1015,72.0,1,11.3
Rikitea,PF,2020-06-16 17:35:19,-23.12,-134.97,81,1020,75.45,22,5.74
Saskylakh,RU,2020-06-16 17:35:19,71.92,114.08,56,999,49.3,0,4.68
Port-Cartier,CA,2020-06-16 17:35:19,50.03,-66.87,40,1020,69.8,75,5.1
Albany,US,2020-06-16 17:35:02,42.6,-73.97,34,1026,80.01,0,0.93
Castro,BR,2020-06-16 17:35:20,-24.79,-50.01,64,1023,69.31,49,2.62
Tuktoyaktuk,CA,2020-06-16 17:35:20,69.45,-133.04,54,1012,59.0,75,7.2
Taku,CN,2020-06-16 17:35:20,39.02,117.65,39,1004,78.8,98,4.0
Ekibastuz,KZ,2020-06-16 17:35:20,51.67,75.37,53,1009,60.84,100,7.6
Ixtapa,MX,2020-06-16 17:35:20,20.7,-105.2,62,1013,84.2,5,3.1
Nome,US,2020-06-16 17:34:20,64.5,-165.41,71,1008,59.0,1,0.29
Port Elizabeth,ZA,2020-06-16 17:35:21,-33.92,25.57,82,1033,60.8,0,4.1
Waddān,LY,2020-06-16 17:35:21,29.16,16.14,22,1016,82.2,0,6.59
Hilo,US,2020-06-16 17:33:54,19.73,-155.09,88,1020,72.0,90,2.1
Matara,LK,2020-06-16 17:35:21,5.95,80.54,91,1009,80.08,97,3.42
Mataura,NZ,2020-06-16 17:35:21,-46.19,168.86,81,1013,47.57,94,2.38
Bonthe,SL,2020-06-16 17:35:21,7.53,-12.51,82,1012,81.21,95,3.3
Punta Arenas,CL,2020-06-16 17:33:28,-53.15,-70.92,86,1004,39.2,16,5.7
Puerto Ayora,EC,2020-06-16 17:35:22,-0.74,-90.35,61,1014,78.8,40,8.2
São Lourenço do Sul,BR,2020-06-16 17:35:22,-31.37,-51.98,64,1020,75.2,1,4.1
Bluff,NZ,2020-06-16 17:35:22,-46.6,168.33,72,1011,54.75,79,7.4
Colares,PT,2020-06-16 17:35:22,38.8,-9.45,60,1022,73.99,20,6.7
Ribeira Grande,PT,2020-06-16 17:35:22,38.52,-28.7,53,1023,71.6,20,7.2
Buchach,UA,2020-06-16 17:35:22,49.06,25.39,84,974,66.99,65,2.68
Novo Mesto,SI,2020-06-16 17:35:23,45.8,15.17,68,1011,69.8,75,0.5
Talnakh,RU,2020-06-16 17:35:23,69.49,88.4,86,997,41.0,75,4.0
Ibarra,EC,2020-06-16 17:31:31,0.35,-78.12,37,1026,71.6,75,3.1
Jamestown,US,2020-06-16 17:33:51,42.1,-79.24,43,1029,73.0,1,2.1
Yinchuan,CN,2020-06-16 17:30:35,38.47,106.27,85,830,59.0,100,2.68
George Town,MY,2020-06-16 17:35:24,5.41,100.34,94,1010,82.4,20,1.06
Presidencia Roque Sáenz Peña,AR,2020-06-16 17:35:24,-26.79,-60.44,42,1008,88.0,78,3.58
Nikolskoye,RU,2020-06-16 17:35:24,59.7,30.79,77,1015,75.99,20,2.0
Grindavik,IS,2020-06-16 17:35:24,63.84,-22.43,66,1018,50.0,75,4.1
Vardø,NO,2020-06-16 17:35:24,70.37,31.11,70,1021,46.4,40,8.2
Half Moon Bay,US,2020-06-16 17:25:42,37.46,-122.43,77,1018,66.99,1,8.2
Sompeta,IN,2020-06-16 17:35:25,18.93,84.6,82,1002,83.95,93,4.53
Mahébourg,MU,2020-06-16 17:35:25,-20.41,57.7,78,1021,71.6,40,5.1
Tiksi,RU,2020-06-16 17:35:25,71.69,128.87,65,1003,48.97,24,3.27
Lagoa,PT,2020-06-16 17:26:15,39.05,-27.98,80,1024,64.98,0,5.08
Rock Falls,US,2020-06-16 17:33:10,41.78,-89.69,41,1026,80.01,1,3.1
Puerto Madryn,AR,2020-06-16 17:35:25,-42.77,-65.04,35,1009,60.93,33,5.83
Kununurra,AU,2020-06-16 17:35:26,-15.77,128.73,28,1016,77.0,0,4.6
Hamilton,US,2020-06-16 17:32:22,39.18,-84.53,47,1027,81.0,40,5.7
Vostok,RU,2020-06-16 17:35:26,46.49,135.88,100,1004,44.85,93,1.69
Torbay,CA,2020-06-16 17:35:14,47.67,-52.73,40,1023,69.01,20,7.7
Caazapá,PY,2020-06-16 17:35:26,-26.15,-56.4,65,1016,78.37,27,4.43
Port Alfred,ZA,2020-06-16 17:35:26,-33.59,26.89,86,1033,57.0,25,1.79
Kapaa,US,2020-06-16 17:35:27,22.08,-159.32,94,1021,73.4,90,8.2
Mildura,AU,2020-06-16 17:30:51,-34.2,142.15,100,1030,46.4,90,3.1
New Norfolk,AU,2020-06-16 17:35:27,-42.78,147.06,77,1023,39.99,7,1.34
Hermanus,ZA,2020-06-16 17:35:27,-34.42,19.23,75,1030,57.99,0,3.09
Qaanaaq,GL,2020-06-16 17:35:27,77.48,-69.36,72,1009,40.15,65,0.83
Severo-Kuril'sk,RU,2020-06-16 17:35:27,50.68,156.12,90,1015,41.45,91,5.2
