,City,Country,Latitude,Longitude,First Feature,Second Feature,Third Feature
0,Kununurra,AU,-15.77,128.73,Mount Cyril,Mount Cecil,Lily Creek Lagoon
1,Benguela,AO,-12.58,13.41,Praia Morena,Vala do Coringe,Largo do Pioneiro
2,Weleri,ID,-6.97,110.07,Gunung Buntu,Gunung Siwayut,Gunung Santren
3,Ji’an,CN,27.12,114.98,Zhenjun Mountain,Luozishan,Shengangshan
4,Morondava,MG,-20.28,44.28,Morondava Beach,Canel Hellot,Canel Hellot
5,Sirte,LY,31.21,16.59,Gulf of Sirte,Bi'r as Sadiq,Gulf of Sirte
6,Kamenka,RU,51.32,42.77,Dal'niy Kardail,Dal'niy Kardail,Balka Vikhlyayevka
7,Labuhan,ID,-6.88,112.21,Gunung Lembor,Gunung Menjuluk,Gunung Leran
8,Erzin,TR,36.96,36.2,Esek Hill,Uctepeler,Başyurt Hill
9,Detchino,RU,54.81,36.31,,,
10,Ngawen,ID,-7.0,111.31,Gunung Kelor,Kali Pulo,Kali Pacing
11,Goderich,CA,43.75,-81.72,Indian Island,,
12,Søgne,NO,58.08,7.82,Buhanen,Årosveten,Ramsdalsfjellene
