,City,Country,Latitude,Longitude,First Feature,Second Feature,Third Feature
0,Kununurra,AU,-15.77,128.73,Hotel Kununurra,The Kimberley Grande Resort,Discovery Parks - Lake Kununurra
1,Benguela,AO,-12.58,13.41,Hotel Praia Morena,Hotel Luso,Nancy's Guest House
2,Weleri,ID,-6.97,110.07,Pondok Darul Arqom 4 - SMP Muhammadiyah,MTs NU 08 Gemuh,MTs NU 04 Muallimin Weleri
3,Ji’an,CN,27.12,114.98,Gunan Tower,Dizang'an,Lijiacun
4,Morondava,MG,-20.28,44.28,La Case Bambou,Cyber Cool Café,Vezo Hôtel
5,Sirte,LY,31.21,16.59,Sirte Central,Spring Flower Company,Osama Women's Clothes Hall
6,Kamenka,RU,51.32,42.77,Kamenskaya Oosh,Kamenskiy Dom Kul'tury,Rynok S Baychurovo
7,Labuhan,ID,-6.88,112.21,Port Office Brondong,PT Bariscan Global Usaha,Musholla Babut Taubat
8,Erzin,TR,36.96,36.2,Kuzuculu,Artemis Otel,Ertaç Kardeşler Market
9,Detchino,RU,54.81,36.31,Art Hotel Karaskovo,Vorob'yevo,"Ooo ""Eternit Kaluga"""
10,Ngawen,ID,-7.0,111.31,Rumah Harmik,YAYASAN KAROMAH WALI SONGO,#RAFAMA Shop
11,Goderich,CA,43.75,-81.72,Benmiller Inn & Spa,Harmony Inn,Colborne Bed and Breakfast
12,Søgne,NO,58.08,7.82,Ny-Hellesund Tøodden,Åros Feriesenter,Vågsbygd Church
